,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,altitude_mean_meters,cupper_points,color,country_code
401,83.33,Arabica,Caturra,Colombia,Washed / Wet,2015,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,0.11,1650,7.42,Green,170
403,83.33,Arabica,Other,Mexico,Washed / Wet,2013,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,0.12,1100,7.67,Green,484
404,83.33,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,0.12,1300,7.58,Green,188
406,83.33,Arabica,Catuai,Costa Rica,Washed / Wet,2013,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,0.11,1200,8,Green,188
407,83.33,Arabica,Caturra,Peru,Washed / Wet,2013,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,0.12,1200,7.5,Green,604
408,83.33,Arabica,Typica,Haiti,Washed / Wet,2012,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,0.11,1280.16,7.83,Green,332
409,83.33,Arabica,Caturra,Colombia,Natural / Dry,2013,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,0.11,1000,7.5,Green,170
410,83.33,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,0.11,1310.64,7.67,Green,320
412,83.33,Arabica,Bourbon,Burundi,Washed / Wet,2012,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,0,1880,7.83,Green,108
413,83.33,Arabica,Caturra,Colombia,Washed / Wet,2012,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,0,1750,7.67,Green,170
416,83.25,Arabica,Typica,Mexico,Washed / Wet,2017,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,0.11,1600,7.67,Blue-Green,484
417,83.25,Arabica,Catuai,Costa Rica,Pulped natural / honey,2016,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,0.11,1900,7.58,Green,188
418,83.25,Arabica,Caturra,Costa Rica,Washed / Wet,2015,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,0.11,1200,7.67,Green,188
419,83.25,Arabica,Others,Guatemala,Washed / Wet,2016,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,0.11,2100,7.67,Green,320
420,83.25,Arabica,Others,Uganda,Washed / Wet,2015,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,0.12,1200,7.67,Green,800
421,83.25,Arabica,Caturra,Brazil,Washed / Wet,2016,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,0.12,1200,8,Green,76
422,83.25,Arabica,Caturra,Colombia,Natural / Dry,2016,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,0,442,7.58,Green,170
423,83.25,Arabica,Typica,Mexico,Natural / Dry,2015,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,0.12,1261,7.42,Bluish-Green,484
426,83.25,Arabica,Caturra,Colombia,Natural / Dry,2014,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,0,1483,7.67,Green,170
427,83.25,Arabica,Caturra,Guatemala,Washed / Wet,2014,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,0.1,1500,7.67,Green,320
428,83.25,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,0.11,1750,7.58,Green,170
429,83.25,Arabica,Bourbon,Mexico,Washed / Wet,2013,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,0.12,1300,7.75,Green,484
431,83.25,Arabica,Mundo Novo,Mexico,Washed / Wet,2012,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,0.13,1200,7.67,Green,484
432,83.25,Arabica,Caturra,Mexico,Washed / Wet,2012,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,0.12,1000,7.58,Blue-Green,484
433,83.25,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,0.11,1310.64,7.42,Green,320
434,83.25,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2012,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,0.11,1200,7.58,Blue-Green,76
435,83.25,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,0.12,175,7.58,Green,170
436,83.25,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,0.11,1775,7.67,Green,170
437,83.25,Arabica,Caturra,Colombia,Washed / Wet,2011,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,0.08,1700,7.5,Green,170
438,83.25,Arabica,Caturra,Colombia,Washed / Wet,2010,8,7.67,7.67,7.25,7.67,7.5,10,10,10,0.13,1880,7.5,Green,170
439,83.25,Arabica,Caturra,Colombia,Washed / Wet,2010,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,0.04,1800,7.58,Green,170
440,83.17,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,0.11,890,7.75,Green,76
441,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,0.1,1901,7.67,Green,320
443,83.17,Arabica,Caturra,Peru,Washed / Wet,2017,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,0.11,1200,7.5,Green,604
445,83.17,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,0.11,1500,7.5,Green,320
446,83.17,Arabica,Catuai,Honduras,Washed / Wet,2016,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,0.11,1450,7.5,Blue-Green,340
447,83.17,Arabica,Others,China,Washed / Wet,2015,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,0.11,1200,7.67,Green,156
448,83.17,Arabica,Others,China,Washed / Wet,2015,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,0.1,1600,7.67,Green,156
449,83.17,Arabica,Bourbon,El Salvador,Washed / Wet,2016,7.5,7.5,7.33,7.67,8,7.67,10,10,10,0,1350,7.5,Green,222
450,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,0.11,1500,7.5,Green,320
451,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,0.12,1650,7.42,Green,320
452,83.17,Arabica,Others,Kenya,Washed / Wet,2014,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,0.1,250.5,7.83,Bluish-Green,404
453,83.17,Arabica,Caturra,Thailand,Washed / Wet,2014,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,0.12,800,7.5,Bluish-Green,764
455,83.17,Arabica,Caturra,Colombia,Washed / Wet,2014,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,0,1775,7.75,Green,170
456,83.17,Arabica,Others,Uganda,Washed / Wet,2014,8,7.67,7.5,7.42,7.33,7.58,10,10,10,0.1,1800,7.67,Bluish-Green,800
457,83.17,Arabica,Caturra,Colombia,Washed / Wet,2014,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,0.11,1200,7.58,Green,170
458,83.17,Arabica,Catuai,Honduras,Natural / Dry,2013,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,0.1,1450,7.67,Green,340
459,83.17,Arabica,Caturra,Honduras,Natural / Dry,2015,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,0.11,1350,7.5,Green,340
460,83.17,Arabica,Catuai,Guatemala,Washed / Wet,2014,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,0.09,1524,7.67,Green,320
463,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,0.11,1310.64,7.5,Green,320
464,83.17,Arabica,Typica,Mexico,Washed / Wet,2013,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,0.11,1500,7.75,Green,484
465,83.17,Arabica,Typica,Mexico,Washed / Wet,2012,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,0.12,532,7.67,Green,484
466,83.17,Arabica,Others,Mexico,Washed / Wet,2012,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,0.14,1089,7.67,Green,484
467,83.17,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,0.11,1775,7.25,Green,170
468,83.17,Arabica,Typica,Mexico,Washed / Wet,2012,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,0.13,700,7.58,Green,484
469,83.17,Arabica,Caturra,Colombia,Washed / Wet,2012,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,0.11,1750,7.5,Blue-Green,170
470,83.17,Arabica,Typica,Mexico,Washed / Wet,2012,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,0.11,1380,7.58,Green,484
471,83.17,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,0.12,1000,7.5,Green,76
472,83.17,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,0.11,950,7.67,Green,76
473,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,0,1402.08,7.5,Green,320
474,83.17,Arabica,Mundo Novo,Brazil,Semi-washed / Semi-pulped,2011,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,0.12,1000,7.58,Blue-Green,76
475,83.17,Arabica,Caturra,Brazil,Washed / Wet,2011,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,0.02,900,7.42,Green,76
476,83.17,Arabica,Caturra,El Salvador,Washed / Wet,2011,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,0.14,1200,7.58,Green,222
477,83.17,Arabica,Caturra,Ethiopia,Washed / Wet,2012,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,0.01,1850,7.92,Green,231
478,83.08,Arabica,Caturra,Colombia,Washed / Wet,2016,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,0,1799,7.5,Green,170
479,83.08,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.5,7.5,7.42,8,7.75,10,10,10,0,1200,7.17,Green,170
480,83.08,Arabica,Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,0.11,905,7.58,Bluish-Green,76
481,83.08,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2016,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,0,1,7.92,Green,76
483,83.08,Arabica,Mundo Novo,Brazil,Natural / Dry,2015,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,0.11,1200,7.5,Green,76
484,83.08,Arabica,Bourbon,Brazil,Washed / Wet,2015,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,0,1200,7.67,Green,76
485,83.08,Arabica,Catuai,Costa Rica,Washed / Wet,2014,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,0.1,1300,7.5,Green,188
489,83.08,Arabica,Other,Mexico,Washed / Wet,2012,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,0.1,1400,7.5,Green,484
492,83.08,Arabica,Caturra,Colombia,Washed / Wet,2012,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,0.01,1775,8.17,Green,170
493,83.08,Arabica,Caturra,Colombia,Washed / Wet,2010,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,0.08,1880,7.58,Green,170
494,83.08,Arabica,Caturra,Indonesia,Washed / Wet,2010,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,0,1350,7.5,Green,360
495,83.08,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,0.02,1200,7.75,Green,320
496,83.00,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,0,890,7.5,Green,76
497,83.00,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,0.11,894,7.58,Green,76
498,83.00,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,0.11,872,7.58,Bluish-Green,76
499,83.00,Arabica,Bourbon,Uganda,Washed / Wet,2015,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,0.12,1473,7.58,Green,800
500,83.00,Arabica,Bourbon,Uganda,Natural / Dry,2015,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,0.12,1645,7.67,Green,800
501,83.00,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,0.11,442,7.58,Green,170
503,83.00,Arabica,Catuai,Guatemala,Washed / Wet,2015,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,0.11,1550,7.42,Green,320
504,83.00,Arabica,Catuai,Guatemala,Washed / Wet,2015,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,0.11,1371.6,7.58,Green,320
505,83.00,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,0.11,1500,7.33,Green,320
506,83.00,Arabica,Catuai,Brazil,Natural / Dry,2014,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,0,1000,7.58,Green,76
508,83.00,Arabica,Others,Uganda,Washed / Wet,2013,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,0.12,1800,7.5,Green,800
510,83.00,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,0.1,1500,7.42,Green,320
511,83.00,Arabica,Catuai,Costa Rica,Washed / Wet,2013,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,0.11,1200,7.67,Green,188
512,83.00,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2014,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,0.12,1250,7.5,Bluish-Green,76
513,83.00,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,0.11,1775,8.25,Green,170
514,83.00,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,0,1750,7.58,Green,170
515,83.00,Arabica,Caturra,Colombia,Natural / Dry,2013,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,0.11,1000,7.5,Green,170
516,83.00,Arabica,Caturra,Colombia,Natural / Dry,2013,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,0,1000,7.58,Green,170
517,83.00,Arabica,Caturra,Colombia,Washed / Wet,2012,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,0.11,1775,7.67,Green,170
518,83.00,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,0.11,750,7.58,Green,484
519,83.00,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,0.11,1200,7.83,Green,484
520,83.00,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,0.11,1200,7.67,Green,484
521,83.00,Arabica,Others,Colombia,Natural / Dry,2012,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,0,1200,7.5,Green,170
522,83.00,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,0,1625,7.58,Green,170
523,83.00,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,0.11,1750,7.5,Green,170
524,83.00,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,0.1,1371.6,7.33,Green,320
525,83.00,Arabica,Caturra,Colombia,Washed / Wet,2011,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,0.12,1775,7.5,Bluish-Green,170
526,83.00,Arabica,Caturra,Thailand,Washed / Wet,2011,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,0.28,1200,7.5,Green,764
527,83.00,Arabica,Caturra,Colombia,Washed / Wet,2012,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,0.08,1450,7.58,Green,170
530,83.00,Arabica,Caturra,Colombia,Washed / Wet,2011,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,0.06,1800,7.42,Green,170
531,83.00,Arabica,Caturra,Nicaragua,Washed / Wet,2010,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,0.07,1200,7.92,Green,558
532,83.00,Arabica,Caturra,Thailand,Washed / Wet,2012,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,0,1200,7.42,Green,764
533,82.92,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,0,890,7.5,Green,76
534,82.92,Arabica,Bourbon,El Salvador,Washed / Wet,2017,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,0,1350,7.5,Green,222
535,82.92,Arabica,Caturra,Colombia,Washed / Wet,2017,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,0.11,1500,7.58,Green,170
537,82.92,Arabica,Others,Ethiopia,Washed / Wet,2016,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,0,2000,7.58,Bluish-Green,231
539,82.92,Arabica,Other,Philippines,Washed / Wet,2015,7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,0.11,1200,7.5,Blue-Green,608
540,82.92,Arabica,Other,Philippines,Washed / Wet,2014,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,0,1600,7.42,Bluish-Green,608
541,82.92,Arabica,Typica,Mexico,Natural / Dry,2015,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,0.13,1059,7.58,Blue-Green,484
542,82.92,Arabica,Bourbon,Mexico,Washed / Wet,2015,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,0.12,1300,7.42,Bluish-Green,484
543,82.92,Arabica,Others,Brazil,Semi-washed / Semi-pulped,2015,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,0.11,11000,7.58,Green,76
544,82.92,Arabica,Others,Uganda,Washed / Wet,2013,8,7.5,7.5,7.58,7.33,7.42,10,10,10,0.12,1650,7.58,Green,800
545,82.92,Arabica,Others,Uganda,Washed / Wet,2013,7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,0.12,1400,7.5,Green,800
546,82.92,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,0.1,1500,7.5,Green,320
547,82.92,Arabica,Caturra,Guatemala,Natural / Dry,2014,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,0.1,1500,7.67,Green,320
548,82.92,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,0.1,1200,7.75,Green,320
549,82.92,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,0.11,1900,7.58,Green,170
550,82.92,Arabica,Caturra,Colombia,Natural / Dry,2013,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,0,1750,7.67,Bluish-Green,170
551,82.92,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,0.11,1706.88,7.5,Green,320
552,82.92,Arabica,Other,Colombia,Washed / Wet,2013,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,0.11,1450,7.5,Green,170
553,82.92,Arabica,Typica,Mexico,Natural / Dry,2012,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,0.1,1248,7.83,Green,484
555,82.92,Arabica,Typica,Mexico,Washed / Wet,2012,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,0.14,1400,7.75,Green,484
557,82.92,Arabica,Caturra,Colombia,Washed / Wet,2011,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,0.15,1450,7.67,Green,170
558,82.92,Arabica,Caturra,Thailand,Washed / Wet,2012,7.42,7.58,7.5,7.17,7.5,8,10,10,10,0,1200,7.75,Green,764
559,82.83,Arabica,Others,Kenya,Washed / Wet,2017,7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,0.1,1754,7.5,Green,404
560,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,0.11,1700,7.58,Green,320
561,82.83,Arabica,Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,0.11,905,7.58,Bluish-Green,76
562,82.83,Arabica,Others,El Salvador,Washed / Wet,2016,7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,0,1250,7.33,Green,222
563,82.83,Arabica,Bourbon,Rwanda,Washed / Wet,2015,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,0.11,1900,8,Bluish-Green,646
565,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,0.11,1219.2,7.5,Green,320
566,82.83,Arabica,Catuai,Brazil,Natural / Dry,2015,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,0.12,900,7.67,Green,76
567,82.83,Arabica,Other,Colombia,Washed / Wet,2014,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,0,1600,7.08,Green,170
568,82.83,Arabica,Other,United States,Other,2014,7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,0,1200,7.58,Green,840
569,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,0.1,1500,7.5,Green,320
570,82.83,Arabica,Typica,Colombia,Natural / Dry,2013,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,0,1800,7.67,Green,170
571,82.83,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,0.11,1775,7.58,Green,170
573,82.83,Arabica,Caturra,Mexico,Washed / Wet,2012,7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,0.12,1550,7.5,Green,484
574,82.83,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,0.12,1250,7.58,Blue-Green,484
575,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,0.11,1310.64,7.42,Green,320
576,82.83,Arabica,Typica,Mexico,Washed / Wet,2012,7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,0.11,1380,7.5,Green,484
577,82.83,Arabica,Caturra,El Salvador,Washed / Wet,2011,7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,0,1200,7.25,Green,222
578,82.75,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.5,7.58,7.42,7.67,7.58,7.5,10,10,10,0.1,1100,7.5,Green,320
579,82.75,Arabica,Caturra,Guatemala,Washed / Wet,2017,7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,0.11,1800,7.5,Green,320
580,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,0.11,1700,7.5,Green,320
581,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,0.1,1219.2,7.58,Green,320
582,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,0.1,1219.2,7.67,Green,320
583,82.75,Arabica,Others,Indonesia,Other,2017,7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,0.12,1500,7.58,Blue-Green,360
584,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,0.12,157.8864,7.67,Green,320
586,82.75,Arabica,Bourbon,El Salvador,Washed / Wet,2017,7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,0,1250,7.67,Green,222
587,82.75,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,0.09,1850,7.67,Bluish-Green,188
588,82.75,Arabica,Caturra,Honduras,Natural / Dry,2017,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,0.09,1400,7.67,Green,340
589,82.75,Arabica,Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,0.11,905,7.5,Bluish-Green,76
590,82.75,Arabica,Others,China,Natural / Dry,2015,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,0.1,1100,7.58,Green,156
591,82.75,Arabica,Others,China,Washed / Wet,2015,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,0.11,1500,7.5,Green,156
592,82.75,Arabica,Caturra,Colombia,Washed / Wet,2014,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,0,1775,7.5,Blue-Green,170
593,82.75,Arabica,Others,Malawi,Washed / Wet,2014,7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,0.12,1442,7.67,Bluish-Green,454
594,82.75,Arabica,Others,Guatemala,Washed / Wet,2014,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,0.13,1524,7.42,Green,320
595,82.75,Arabica,Typica,Colombia,Washed / Wet,2014,7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,0.12,165,7.67,Green,170
598,82.75,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,0.1,1300,7.5,Green,170
599,82.75,Arabica,Typica,Mexico,Washed / Wet,2013,7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,0.12,1550,7.58,Green,484
600,82.75,Arabica,Typica,Mexico,Washed / Wet,2012,7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,0.12,1200,7.67,Green,484
601,82.75,Arabica,Typica,Mexico,Natural / Dry,2012,8.08,8.17,8,8,7.83,7.92,6.67,10,10,0.12,1200,8.08,Green,484
602,82.75,Arabica,Caturra,Colombia,Washed / Wet,2012,7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,0,1625,7.5,Blue-Green,170
603,82.75,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,0.11,1775,7.42,Green,170
605,82.75,Arabica,Catuai,Panama,Washed / Wet,2012,7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,0,1100,7.58,Green,591
607,82.67,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,0,890,7.5,Green,76
608,82.67,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,0.11,934,7.5,Bluish-Green,76
610,82.67,Arabica,Others,El Salvador,Washed / Wet,2016,7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,0,1200,7.5,Green,222
611,82.67,Arabica,Caturra,Mexico,Washed / Wet,2016,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,0.11,1300,7.75,Green,484
612,82.67,Arabica,Caturra,Colombia,Washed / Wet,2015,7.75,7.5,7.33,7.58,7.33,7.75,10,10,10,0,1200,7.42,Green,170
